ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L;isbn_length
0671623249;LONESOME DOVE;Larry McMurtry;1986.0;Pocket;http://images.amazon.com/images/P/0671623249.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671623249.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg;10
042511774X;Breathing Lessons;Anne Tyler;1994.0;Berkley Publishing Group;http://images.amazon.com/images/P/042511774X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/042511774X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg;10
0804106304;The Joy Luck Club;Amy Tan;1994.0;Prentice Hall (K-12);http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg;10
0140067477;The Tao of Pooh;Benjamin Hoff;1983.0;Penguin Books;http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg;10
0345465083;Seabiscuit;LAURA HILLENBRAND;2003.0;Ballantine Books;http://images.amazon.com/images/P/0345465083.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345465083.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg;10
1558531025;Life's Little Instruction Book (Life's Little Instruction Books (Paperback));H. Jackson Brown;1991.0;Thomas Nelson;http://images.amazon.com/images/P/1558531025.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558531025.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg;10
0441783589;Starship Troopers;Robert A. Heinlein;1987.0;Ace Books;http://images.amazon.com/images/P/0441783589.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0441783589.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg;10
0316769487;The Catcher in the Rye;J.D. Salinger;1991.0;Little, Brown;http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg;10
0679429220;Midnight in the Garden of Good and Evil: A Savannah Story;John Berendt;1994.0;Random House;http://images.amazon.com/images/P/0679429220.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg;10
0671867156;Pretend You Don't See Her;Mary Higgins Clark;1998.0;Pocket;http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg;10
0446677450;Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!;Robert T. Kiyosaki;2000.0;Warner Books;http://images.amazon.com/images/P/0446677450.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446677450.01.LZZZZZZZ.jpg;10
0451166892;The Pillars of the Earth;Ken Follett;1996.0;Signet Book;http://images.amazon.com/images/P/0451166892.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg;10
067976397X;Corelli's Mandolin : A Novel;LOUIS DE BERNIERES;1995.0;Vintage;http://images.amazon.com/images/P/067976397X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/067976397X.01.LZZZZZZZ.jpg;10
0786868716;The Five People You Meet in Heaven;Mitch Albom;2003.0;Hyperion;http://images.amazon.com/images/P/0786868716.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg;10
0446608653;The Alibi;Sandra Brown;2000.0;Warner Books;http://images.amazon.com/images/P/0446608653.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg;10
0446612545;The Beach House;James Patterson;2003.0;Warner Books;http://images.amazon.com/images/P/0446612545.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg;10
0553584383;Dead Aim;IRIS JOHANSEN;2004.0;Bantam Books;http://images.amazon.com/images/P/0553584383.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg;10
0671027360;Angels & Demons;Dan Brown;2001.0;Pocket Star;http://images.amazon.com/images/P/0671027360.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg;10
0743439740;Every Breath You Take : A True Story of Obsession, Revenge, and Murder;Ann Rule;2002.0;Pocket;http://images.amazon.com/images/P/0743439740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743439740.01.LZZZZZZZ.jpg;10
0671042858;The Girl Who Loved Tom Gordon;Stephen King;2000.0;Pocket;http://images.amazon.com/images/P/0671042858.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg;10
0425184226;The Sum of All Fears;Tom Clancy;2002.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425184226.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425184226.01.LZZZZZZZ.jpg;10
0060929790;One Hundred Years of Solitude;Gabriel Garcia Marquez;1998.0;Perennial;http://images.amazon.com/images/P/0060929790.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060929790.01.LZZZZZZZ.jpg;10
0060976845;Little Altars Everywhere: A Novel;Rebecca Wells;1996.0;Perennial;http://images.amazon.com/images/P/0060976845.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg;10
0061099325;Coyote Waits (Joe Leaphorn/Jim Chee Novels);Tony Hillerman;1992.0;HarperTorch;http://images.amazon.com/images/P/0061099325.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0061099325.01.LZZZZZZZ.jpg;10
0671004573;Before I Say Good-Bye;Mary Higgins Clark;2001.0;Pocket;http://images.amazon.com/images/P/0671004573.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg;10
038572179X;Atonement : A Novel;IAN MCEWAN;2003.0;Anchor;http://images.amazon.com/images/P/038572179X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg;10
0553583468;Whisper of Evil (Hooper, Kay. Evil Trilogy.);Kay Hooper;2002.0;Bantam Books;http://images.amazon.com/images/P/0553583468.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553583468.01.LZZZZZZZ.jpg;10
0380778556;Rebecca;Daphne Du Maurier;1994.0;Avon;http://images.amazon.com/images/P/0380778556.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380778556.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380778556.01.LZZZZZZZ.jpg;10
0446527165;Wish You Well;David Baldacci;2000.0;Warner Books;http://images.amazon.com/images/P/0446527165.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446527165.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg;10
0385337639;Crow Lake (Today Show Book Club #7);Mary Lawson;2003.0;Delta;http://images.amazon.com/images/P/0385337639.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385337639.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg;10
0451206673;Pen Pals;Olivia Goldsmith;2002.0;Signet Book;http://images.amazon.com/images/P/0451206673.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451206673.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg;10
0330332775;Bridget Jones's Diary;Helen Fielding;1997.0;Picador (UK);http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg;10
0553278223;The Martian Chronicles;RAY BRADBURY;1984.0;Spectra;http://images.amazon.com/images/P/0553278223.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553278223.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553278223.01.LZZZZZZZ.jpg;10
0060977493;The God of Small Things;Arundhati Roy;1998.0;Perennial;http://images.amazon.com/images/P/0060977493.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg;10
0316602906;The Big Bad Wolf: A Novel;James Patterson;2003.0;Little, Brown;http://images.amazon.com/images/P/0316602906.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg;10
0316693006;Four Blind Mice;James Patterson;2002.0;Little, Brown;http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg;10
0345378490;Congo;Michael Crichton;1995.0;Ballantine Books;http://images.amazon.com/images/P/0345378490.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg;10
0345404793;Protect and Defend;Richard North Patterson;2001.0;Ballantine Books;http://images.amazon.com/images/P/0345404793.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345404793.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg;10
0375400117;Memoirs of a Geisha;Arthur Golden;1997.0;Alfred A. Knopf;http://images.amazon.com/images/P/0375400117.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg;10
0375705856;Plainsong (Vintage Contemporaries);KENT HARUF;2000.0;Vintage;http://images.amazon.com/images/P/0375705856.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375705856.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg;10
0380717018;Body of Evidence (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1992.0;Avon;http://images.amazon.com/images/P/0380717018.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380717018.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380717018.01.LZZZZZZZ.jpg;10
0380718332;All That Remains (Kay Scarpetta Mysteries (Paperback));Patricia D. Cornwell;1993.0;Avon;http://images.amazon.com/images/P/0380718332.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg;10
0385497466;The Brethren;JOHN GRISHAM;2000.0;Doubleday;http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg;10
0385508042;The King of Torts;John Grisham;2003.0;Doubleday Books;http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg;10
0385509456;The Curious Incident of the Dog in the Night-Time : A Novel;MARK HADDON;2003.0;Doubleday;http://images.amazon.com/images/P/0385509456.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385509456.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385509456.01.LZZZZZZZ.jpg;10
0385511612;Bleachers;John Grisham;2003.0;Doubleday;http://images.amazon.com/images/P/0385511612.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385511612.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg;10
0385730586;Sisterhood of the Traveling Pants;ANN BRASHARES;2003.0;Delacorte Books for Young Readers;http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg;10
0446605484;Roses Are Red (Alex Cross Novels);James Patterson;2001.0;Warner Vision;http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg;10
0446610399;The Rescue;Nicholas Sparks;2001.0;Warner Books;http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg;10
0449006522;Manhattan Hunt Club;JOHN SAUL;2002.0;Ballantine Books;http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg;10
0449911004;Patty Jane's House of Curl (Ballantine Reader's Circle);LORNA LANDVIK;1996.0;Ballantine Books;http://images.amazon.com/images/P/0449911004.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0449911004.01.LZZZZZZZ.jpg;10
0451162072;Pet Sematary;Stephen King;1994.0;Signet Book;http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg;10
0452282152;Girl with a Pearl Earring;Tracy Chevalier;2001.0;Plume Books;http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg;10
0671023616;Postmortem (Kay Scarpetta Mysteries (Paperback));Patricia Cornwell;1998.0;Pocket;http://images.amazon.com/images/P/0671023616.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671023616.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671023616.01.LZZZZZZZ.jpg;10
0671027387;Deception Point;Dan Brown;2002.0;Pocket;http://images.amazon.com/images/P/0671027387.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg;10
0684848783;Tis : A Memoir;Frank McCourt;1999.0;Scribner;http://images.amazon.com/images/P/0684848783.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684848783.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684848783.01.LZZZZZZZ.jpg;10
0743486226;Angels & Demons;Dan Brown;2003.0;Atria;http://images.amazon.com/images/P/0743486226.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0743486226.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0743486226.01.LZZZZZZZ.jpg;10
140003180X;The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency);ALEXANDER MCCALL SMITH;2004.0;Anchor;http://images.amazon.com/images/P/140003180X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/140003180X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/140003180X.01.LZZZZZZZ.jpg;10
155874262X;Chicken Soup for the Soul (Chicken Soup for the Soul);Jack Canfield;1993.0;Health Communications;http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg;10
0060987103;Wicked: The Life and Times of the Wicked Witch of the West;Gregory Maguire;1996.0;Regan Books;http://images.amazon.com/images/P/0060987103.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg;10
0151008116;Life of Pi;Yann Martel;2002.0;Harcourt;http://images.amazon.com/images/P/0151008116.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg;10
0525947647;Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right;Al Franken;2003.0;Dutton Books;http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg;10
0804111359;Secret History;DONNA TARTT;1993.0;Ballantine Books;http://images.amazon.com/images/P/0804111359.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0804111359.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0804111359.01.LZZZZZZZ.jpg;10
1558744150;Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper));Jack Canfield;1996.0;Health Communications;http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg;10
0316782505;The Weight of Water;Anita Shreve;2001.0;Little, Brown;http://images.amazon.com/images/P/0316782505.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316782505.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg;10
0440241413;Confessions of a Shopaholic;SOPHIE KINSELLA;2003.0;Dell;http://images.amazon.com/images/P/0440241413.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440241413.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg;10
0451526341;Animal Farm;George Orwell;2004.0;Signet;http://images.amazon.com/images/P/0451526341.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0451526341.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg;10
0553280589;Eva Luna;Isabel Allende;1989.0;Bantam Books;http://images.amazon.com/images/P/0553280589.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553280589.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553280589.01.LZZZZZZZ.jpg;10
0684833395;Catch 22;Joseph Heller;1996.0;Simon & Schuster;http://images.amazon.com/images/P/0684833395.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg;10
0374270325;A Man in Full;Tom Wolfe;1998.0;Farrar Straus & Giroux;http://images.amazon.com/images/P/0374270325.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0374270325.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0374270325.01.LZZZZZZZ.jpg;10
0375719180;The Miracle Life of Edgar Mint: A Novel;Brady Udall;2002.0;Vintage Books USA;http://images.amazon.com/images/P/0375719180.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0375719180.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0375719180.01.LZZZZZZZ.jpg;10
0440235502;October Sky: A Memoir;Homer Hickam;1999.0;Dell;http://images.amazon.com/images/P/0440235502.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0440235502.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0440235502.01.LZZZZZZZ.jpg;10
044023722X;A Painted House;John Grisham;2001.0;Dell Publishing Company;http://images.amazon.com/images/P/044023722X.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg;10
0553278746;The Postman (Bantam Classics);David Brin;1990.0;Spectra Books;http://images.amazon.com/images/P/0553278746.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0553278746.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0553278746.01.LZZZZZZZ.jpg;10
0380730138;Vinegar Hill (Oprah's Book Club (Paperback));A. Manette Ansay;1998.0;Perennial;http://images.amazon.com/images/P/0380730138.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0380730138.01.LZZZZZZZ.jpg;10
0425120279;The Hunt for Red October;Tom Clancy;1990.0;Berkley Publishing Group;http://images.amazon.com/images/P/0425120279.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0425120279.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0425120279.01.LZZZZZZZ.jpg;10
0060188731;Bel Canto;Ann Patchett;2001.0;HarperCollins Publishers;http://images.amazon.com/images/P/0060188731.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0060188731.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0060188731.01.LZZZZZZZ.jpg;10
0140374248;James and the Giant Peach;Roald Dahl;2000.0;Penguin USA (Paper);http://images.amazon.com/images/P/0140374248.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0140374248.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0140374248.01.LZZZZZZZ.jpg;10
0142001740;The Secret Life of Bees;Sue Monk Kidd;2003.0;Penguin Books;http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg;10
0312995423;Digital Fortress : A Thriller;Dan Brown;2003.0;St. Martin's Press;http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg;10
