ISBN;Canonical_ISBN
0142002593;0684853205
0446314803;0446313955
0446313955;0446313955
0743219589;0445031549
0445031549;0445031549
0553212664;0553212664
0553377957;0553212664
0451206533;0525946071
0525946071;0525946071
0786863986;0786863986
0736645233;0786863986
0375404139;0786863986
0449912205;0394495519
0394495519;0394495519
081257236X;0312870000
0312870000;0312870000
0375800662;0590689800
0590689800;0590689800
068482499X;0684718049
0684718049;0684718049
1569471479;1569471142
1569471142;1569471142
0451201191;0425129624
0425129624;0425129624
0425189422;0399148329
0399148329;0399148329
0812564545;0312873727
0312873727;0312873727
0679761837;0679403477
0679403477;0679403477
0679735666;0394573358
0394573358;0394573358
0380719460;0140115455
0140115455;0140115455
1557733856;1557733856
0425146227;1557733856
0061073628;0060191988
0060191988;0060191988
038550120X;038550120X
0385337930;038550120X
044023722X;044023722X
044023722x;044023722X
0553712527;044023722X
0446525308;0446525308
0446677221;0446525308
0156711427;0156711427
0151711410;0156711427
0807067245;0807067245
0807067393;0807067245
0515095575;0515087173
0515087173;0515087173
0684862247;0684862247
0743518217;0684862247
1575663740;1575660032
1575660032;1575660032
0345426800;0345423844
0345423844;0345423844
0385484127;0385484127
0330345656;0385484127
0156716836;015171696X
015171696X;015171696X
0671042750;0671042750
0743457927;0671042750
0440217369;0670847925
0670847925;0670847925
0451181808;0451181808
0451181794;0451181808
1590580737;1590580737
0425191079;1590580737
0345445678;0345445678
0345445686;0345445678
0449225151;0333583205
0517701766;0333583205
0333583205;0333583205
0679445633;0333583205
0446611468;0446611468
0446529508;0446611468
1589199669;1589199669
0060727101;1589199669
0394575229;0394575229
0345367545;0394575229
1573221570;1573221570
1573228788;1573221570
0312979533;0312266324
0312266324;0312266324
0553801309;0553801309
0553582372;0553801309
0451199863;0425130282
0425130282;0425130282
0140042210;0670566829
0679739890;0670566829
0451525442;0670566829
0553214047;0670566829
0670566829;0670566829
0345361792;0345363523
0345363523;0345363523
0312255012;0805061479
0805061479;0805061479
0881844624;0345278348
0345278348;0345278348
0060235330;0060235330
0060235322;0060235330
0688156533;0688156533
0688172334;0688156533
0374525420;0517598574
0517598574;0517598574
1565842103;1565842103
1565842111;1565842103
075285111X;075285111X
0752858963;075285111X
0140177981;0399137904
0399137904;0399137904
0671676652;0671676644
0671676644;0671676644
0802135463;0802115977
0802115977;0802115977
0670589101;0670589101
0449240371;0670589101
0451183886;0452267765
0452267765;0452267765
0312982917;0312022719
0312022719;0312022719
0590418564;0590418564
0590432028;0590418564
0609604511;0609604511
0385720483;0609604511
0441007686;0441006515
0441006515;0441006515
034541103X;034541103X
067945814X;034541103X
0316881562;0316881562
0751517550;0316881562
0440910811;0374362998
0374362998;0374362998
0786000899;0821745832
0821745832;0821745832
0156787334;0156787334
0151787336;0156787334
0380816792;0380844001
0380844001;0380844001
1400060117;1400060117
0812967879;1400060117
0399151729;0399151729
0451212762;0399151729
0718147200;0399151729
0590405489;0590405489
0590438212;0590405489
0671899589;0671648918
0671648918;0671648918
080504695X;0345331222
0345331222;0345331222
0375700668;0375400656
0375400656;0375400656
8433920308;8481302139
8481302139;8481302139
0380808323;0380808323
0788795007;0380808323
0765302896;0765302896
0765342197;0765302896
0805051163;0805038167
0805038167;0805038167
0380807939;0380807939
0380807947;0380807939
1587880482;0380807939
0345430557;0517583860
0553290762;0517583860
0517583860;0517583860
0312708203;0312708203
0006170552;0312708203
1558746218;1558746218
1558746226;1558746218
0061012289;006018650X
006018650X;006018650X
0590404032;0385135696
0385135696;0385135696
0590444298;0590406957
0590406957;0590406957
0752843427;0752826077
0752826077;0752826077
067083338X;067083338X
0140134360;067083338X
0553280414;055323224X
0743253973;055323224X
055323224X;055323224X
0553540076;055323224X
0425141977;0425141977
0060534389;0425141977
0786810858;0399227679
0399227679;0399227679
0060933429;0060185341
0060185341;0060185341
0673521214;0673521214
0673524396;0673521214
0771065175;0888302525
0771065094;0888302525
0771065086;0888302525
0888302525;0888302525
076790818X;0739303104
0739303104;0739303104
0767908171;0767908171
096573840X;0767908171
0312204329;0312204329
0312263899;0312204329
0345332636;0345332636
0436201542;0345332636
0805033203;0805033203
014200362X;0805033203
0864426046;0140095756
0140095756;0140095756
0765306395;0765305798
0765305798;0765305798
1585421847;1585421847
1585423068;1585421847
042514237X;042514237X
0515101354;042514237X
0060175699;0060175699
006009480X;0060175699
0345397452;0345397452
0679449159;0345397452
0312952716;0679419853
0679419853;0679419853
0394756975;0553206834
0553206834;0553206834
055329833X;0385421184
0385421184;0385421184
0375420967;0375420967
0385720785;0375420967
0804108862;0804108862
0345478142;0804108862
0449001024;0804108862
0345478959;0804108862
0451202120;0525945415
0525945415;0525945415
0425184234;000651202X
000651202X;000651202X
000651202x;000651202X
0151006091;000651202X
0374527075;0452262356
0452262356;0452262356
0330023063;0330023063
0340733616;0330023063
0743431715;0330023063
1574410296;1574410296
0553579592;1574410296
0425182169;0425182169
0739418068;0425182169
0380715899;0151836000
0380727366;0151836000
0151836000;0151836000
1888451467;0060977558
0060977558;0060977558
0345389964;0679434968
0345915623;0679434968
0679434968;0679434968
0345394755;0679434968
0451453328;0517593122
0517593122;0517593122
0451458974;0517593122
051714512X;0517593122
1562478494;1562478494
1562477544;1562478494
0553574701;0553574701
0553101641;0553574701
0553080237;0553080237
055356174X;0553080237
0449911136;0679444521
0679444521;0679444521
0380703130;0688065309
0380729873;0688065309
0688065309;0688065309
0679425861;0679425861
0425162346;0679425861
0425181707;0679425861
0553280716;039330213X
039330213X;039330213X
0140084703;0394548027
0394548027;0394548027
0394577671;0394577671
0451402634;0394577671
0380720477;1562829807
1562829807;1562829807
0812572122;0812572122
0765308711;0812572122
0030622093;0030622093
0345315901;0030622093
0385491247;0871136694
0871136694;0871136694
0312146809;0312146809
0312964544;0312146809
0446356573;0446892041
0446892041;0446892041
0451167783;081120765X
081120765X;081120765X
0451129822;081120765X
1582431817;158243123X
158243123X;158243123X
0440235146;0440235146
038549274X;0440235146
0553525999;0440235146
0312997159;031228781X
031228781X;031228781X
0395253381;0395253381
0440219175;0395253381
0345346602;0394410629
0394410629;0394410629
0316919896;0316919896
0316925284;0316919896
0440901588;0374373620
0374373620;0374373620
0807209163;0374373620
003049186X;003049186X
003049186x;003049186X
0394820304;0394820304
0064473511;0394820304
0749704403;0394820304
0451526562;1566193230
0812505069;1566193230
0382099931;1566193230
1566193230;1566193230
0451519590;1566193230
0886460433;1566193230
078573144X;1566193230
0140111441;1566193230
0451514904;1566193230
0140437304;0140437304
0141439602;0140437304
039455583X;039455583X
0446323527;039455583X
059033784X;059033784X
006440238X;059033784X
0440410347;0440410347
0440910455;0440410347
0061031992;0066210232
0066210232;0066210232
0694525324;0066210232
0694524972;0066210232
0874869218;0345305167
0345305167;0345305167
0394577736;0394577736
0804111340;0394577736
0060006390;0060006390
0060006412;0060006390
0679427422;0679427422
0679754490;0679427422
0786812095;0786800879
0786800879;0786800879
0786820721;0786800879
0688089046;0688074219
0688074219;0688074219
0440211727;0440211727
0385470819;0440211727
0553470698;0440211727
0385338600;0440211727
0922066728;0922066728
0385470789;0922066728
0345353749;0345353749
1842323008;0345353749
0553582364;0553801279
0553801279;0553801279
006092988X;0606050728
0060001941;0606050728
0895773287;0606050728
0606050728;0606050728
0375413030;0375413030
0375727515;0375413030
060980748X;0609606948
0609606948;0609606948
0786889535;0449216403
0449216403;0449216403
006100717X;0671671480
0671671480;0671671480
037541181X;037541181X
037541181x;037541181X
0452272971;0374283354
0374283354;0374283354
0451821939;0671638734
0671638734;0671638734
0060391022;0060391022
0425171094;0060391022
0425186059;0060391022
1565122062;0679728449
0679728449;0679728449
0440501091;0440501091
0440205204;0440501091
0385415052;0385415052
0375703977;0385415052
0804108145;0312044410
0312044410;0312044410
0449204553;0688034276
0688034276;0688034276
0816134596;0688034276
0449202720;0688034276
0061180084;0061180033
0061180033;0061180033
0892966882;0892966882
0446608165;0892966882
0767902513;0767902513
0553455923;0767902513
0446608955;0446525537
0446525537;0446525537
1570427496;0446525537
0375728007;0446525537
006103083X;006103083X
006103083x;006103083X
0517573199;0517573199
0152017658;0517573199
0843940352;0843940352
0843930756;0843940352
0688103618;0688103618
0441002668;0688103618
0345424719;0345424719
034543479X;0345424719
034543479x;0345424719
0440487617;0374384436
0374384436;0374384436
0380817160;0380817160
0380978865;0380817160
0316076228;0316076228
0316608475;0316076228
0152045627;0152045627
0152049118;0152045627
0590865420;0152009655
0152009655;0152009655
1565075331;1565075331
0736908676;1565075331
006621341X;0061040347
0061040347;0061040347
0451172698;0451172698
0451165675;0451172698
067081752X;067081752X
0380706865;067081752X
0440205506;0440205506
0140274367;0440205506
0440222087;0385318200
0385318200;0385318200
0061008079;038049163X
038049163X;038049163X
0553265342;038049163X
038049163x;038049163X
0553141422;0671401157
0671401157;0671401157
1573220434;1573220434
1573226513;1573220434
038530000X;038530000X
0440213355;038530000X
0061095052;0061095052
000648090X;0061095052
0679422188;0679422188
0345386574;0679422188
0812565231;0812565231
0613091132;0812565231
0805057757;0805057749
0805057749;0805057749
0316545562;0316545317
0316545317;0316545317
0345419049;0345324668
0345324668;0345324668
0345257502;0345257502
0345336968;0345257502
0521443172;0521443172
0521558794;0521443172
0553284355;0553053876
0553053876;0553053876
031239019X;0312148631
0312148631;0312148631
0440998050;0374386137
0374386137;0374386137
0440800544;0374386137
0440227151;0374386137
0440222079;0440222079
0385318170;0440222079
0679731148;0394572300
0394572300;0394572300
0609608126;0609608126
0609809512;0609608126
0312287240;0312199651
0312199651;0312199651
0394178009;0394178009
0394179692;0394178009
0571137997;0571137997
0571145701;0571137997
0590400541;0590400541
0590438964;0590400541
0671864866;0671864866
0671518941;0671864866
068482275X;0684803046
0684803046;0684803046
0689113161;0689113161
002010202X;0689113161
0684874350;0684874350
0684843137;0684874350
0671690094;0671690094
0671707612;0671690094
0671670913;0671642685
0671642685;0671642685
0671531441;0671531441
0671722565;0671531441
0671433792;0671433792
0671457616;0671433792
0671885332;0671425986
0671425986;0671425986
0671632051;0671632051
068480414X;0671632051
0671452592;0671452592
0671706799;0671452592
0863162096;0863162096
0863162142;0863162096
0044403917;0044403917
2207305171;0044403917
0440221161;0786701293
0786701293;0786701293
0747557861;0747553858
0747553858;0747553858
0060278250;0060278250
0060528737;0060278250
038548657x;038548657x
038548657X;038548657x
0802726224;0060638656
0060638656;0060638656
0140274383;0393040917
0393040917;0393040917
1573227331;1573220876
0141007338;1573220876
0140285679;1573220876
0140293450;1573220876
1573220876;1573220876
3426616904;1573220876
3464371646;1573220876
0151027072;0449208583
0449208583;0449208583
031229137X;0312269706
0312269706;0312269706
0451202244;0525944796
0525944796;0525944796
0380977761;0380977761
0060525096;0380977761
3548256139;3548247180
3548247180;3548247180
0743229061;0743229061
0743448812;0743229061
0446519960;0446519960
0446603589;0446519960
0743403452;0743403444
0743403444;0743403444
0061031569;0060083425
0060083425;0060083425
0060185724;0060083425
0060269928;0060269928
0064406326;0060269928
0060269898;0060269928
0671778730;0671551701
0671551701;0671551701
074346737X;0671551701
0451180062;0451180062
0140865071;0451180062
0525937684;0451180062
0595209238;155547179X
155547179X;155547179X
0425151867;0399139710
0399139710;0399139710
0385306024;0385306024
0440217547;0385306024
2266105329;0385306024
0312865384;0312865384
0312875606;0312865384
0312421028;0805070648
0805070648;0805070648
0786707739;0786707739
0786709820;0786707739
0684195488;0684195488
0684832828;0684195488
0679819312;0679819312
0833585762;0679819312
0812510836;0812510836
0312850999;0812510836
0399148620;0399148620
0515135828;0399148620
0330346261;0330346261
8432216364;0330346261
0736642943;0330346261
0553371835;0553090275
0553090275;0553090275
0449214567;0688042236
0688042236;0688042236
0060929413;0060175508
0060175508;0060175508
0786889233;0786860987
0786860987;0786860987
1567401481;0786860987
0446524514;0446524514
044661260X;0446524514
044661260x;0446524514
089083735X;089083735X
0786702885;089083735X
0061008117;0385181299
0385181299;0385181299
0684854805;0684854805
0684854813;0684854805
0446672513;0446672513
0446605115;0446672513
0553560700;0553070347
0553070347;0553070347
0446531278;0965694879
0965694879;0965694879
0140235221;0140235221
0140232818;0140235221
0517703246;0517703246
080411787X;0517703246
042515601X;042515601X
042515601x;042515601X
0345413105;0345413091
0345413091;0345413091
0553567683;0553095382
0553095382;0553095382
225303956x;225303956x
225303956X;225303956x
0345258991;0385037244
0385420536;0385037244
0385037244;0385037244
2080700804;2080700804
2266127780;2080700804
2290314471;2080700804
087605193X;0876051905
0876051905;0876051905
0892563389;0892563389
0843930489;0892563389
1569472475;1569472041
1569472041;1569472041
1569470553;1569470146
1569470146;1569470146
0345340833;0395382068
0395382068;0395382068
0679406565;0679406565
0812923138;0679406565
0345347552;0345272102
0345272102;0345272102
0835902242;0451523733
059043389X;0451523733
0451519124;0451523733
0451523733;0451523733
0448110008;0451523733
0520237714;0451523733
0590408011;0451523733
0448058006;0451523733
0679448896;0451523733
0449912728;0451523733
0804900043;0451523733
0395051142;0451523733
0810200627;0451523733
0451516737;0451523733
0881421073;0451523733
0448149222;0451523733
0142500984;0451523733
1572701110;0451523733
0060806125;0451523733
0060467215;0451523733
0866119655;0866119655
1577656768;0866119655
0520228383;0520055209
0520055209;0520055209
0425035182;1566198593
0425048691;1566198593
0706430158;1566198593
1566198593;1566198593
0553249967;1566198593
0804900973;0020195907
0345327128;0020195907
0893754021;0020195907
0020195907;0020195907
0425061701;0425061701
0425081117;0425061701
0425095312;0425061701
0439099404;0451519620
0451523555;0451519620
0448424274;0451519620
0590408003;0451519620
0451519620;0451519620
0448110024;0451519620
0060092963;0060092963
0739433598;0060092963
0679443878;0679443878
0679763414;0679443878
038505419X;038505419X
0380010070;038505419X
0553126121;0553126121
0385093187;0553126121
0517171988;0517171988
1587170000;0517171988
0553574078;0553100769
0553100769;0553100769
1573228737;1573221562
1573221562;1573221562
0060920076;0060161426
0060161426;0060161426
1576751511;1576751511
1576751996;1576751511
0452011817;0451625560
0451625560;0451625560
0440223032;0399140913
0399140913;0399140913
0061091790;0060167688
0060167688;0060167688
0747524432;0747524432
0747538824;0747524432
0553571842;0553099485
0553099485;0553099485
189395613X;189395613X
1893956237;189395613X
0821766937;0821766937
0821776665;0821766937
0553569082;0385475489
0385475489;0385475489
0393317706;0385486510
0385486510;0385486510
0671727311;0671727311
0679745394;0671727311
0141001534;0670892424
0670892424;0670892424
0385333706;0385333692
0385333692;0385333692
0140258345;0670870072
0670870072;0670870072
0312196717;0312196717
0312969260;0312196717
0142000329;0670894486
0670894486;0670894486
0590434837;0590434837
0590332872;0590434837
0553378295;0553102907
0553102907;0553102907
044023574X;0385334702
0385334702;0385334702
0553526952;0385334702
044023574x;0385334702
