User-ID;Location;Age
15418;vitoria, álava, spain;23.0
15602;cherry hill, new jersey, usa;21.0
16009;stratford, new jersey, usa;25.0
16106;albany, california, usa;44.0
16488;milwaukee, wisconsin, usa;36.0
16634;little rock, arkansas, usa;42.0
16718;houston, texas, usa;29.0
16795;mechanicsville, maryland, usa;47.0
16916;hackettstown, new jersey, usa;53.0
16966;waterloo, ontario, canada;41.0
16996;stratford, iowa, usa;23.0
17003;carlsbad, california, usa;
17667;iowa city, iowa, usa;33.0
17761;pinckney, michigan, usa;
17859;roanoke, virginia, usa;43.0
17950;puchong, selangor, malaysia;32.0
18067;kajang, selangor, malaysia;33.0
18082;southern, california, usa;38.0
19085;menomonie, wisconsin, usa;60.0
19493;baldwin, ,;
19573;stockton, california, usa;69.0
19664;katonah, new york, usa;19.0
19711;katy, texas, usa;
19842;***********, illinois, usa;
20060;baltimore, maryland, usa;48.0
20172;saratoga springs, utah, usa;27.0
20180;sacramento, california, usa;36.0
20201;grove city, ohio, usa;31.0
20462;bossier city, louisiana, usa;
20680;los angeles, california, usa;41.0
21011;san francisco, california, usa;44.0
21014;fresno, california, usa;
21031;alexandria, virginia, usa;36.0
21356;westwood, new jersey, usa;56.0
21404;west vancouver, british columbia, canada;
21484;madison, wisconsin, usa;21.0
21576;memphis, tennessee, usa;31.0
21618;atlanta, georgia, usa;24.0
21659;san jose, california, usa;31.0
22045;sacramento, california, usa;
22074;san luis obispo, california, usa;
22252;elmhurst, new york, usa;38.0
22521;montgomery, alabama, usa;18.0
22625;lynbrook, new york, usa;54.0
22818;franklin, pennsylvania, usa;28.0
23511;chapel hill, north carolina, usa;56.0
23547;mcallen, texas, usa;26.0
23571;burbank, california, usa;41.0
23699;minneapolis, minnesota, usa;25.0
23768;st. louis, missouri, usa;45.0
23872;tulsa, oklahoma, usa;22.0
23902;london, england, united kingdom;
23933;burleson, texas, usa;43.0
24194;palos hills, illinois, usa;20.0
24433;deventer, overijssel, netherlands;37.0
24933;long island, new york, usa;44.0
25131;grimes, iowa, usa;
25409;la mesa, california, usa;31.0
25919;evansville, indiana, usa;
25981;nj, new jersey, usa;
26057;halifax, nova scotia, canada;18.0
26240;sacramento, california, usa;
26517;dallas, north carolina, usa;
26544;woodbridge, virginia, usa;37.0
26620;napa, california,;
26621;haskell, new jersey, usa;
26883;vienna, vienna, austria;
27472;bountiful, utah, usa;41.0
27617;beaverton, ontario, canada;32.0
27647;lisboa, lisboa, portugal;
27740;san diego, , usa;57.0
27812;long beach, california, usa;33.0
27875;new port richey, florida, usa;
28016;port clinton, ohio, usa;31.0
28177;grand rapids, michigan, usa;26.0
28204;south ohio, nova scotia, canada;61.0
28619;hartford, connecticut, usa;
28634;bad axe, michigan, usa;28.0
29209;boca raton, florida, usa;
29259;mt. airy, , usa;39.0
29526;knoxville, tennessee, usa;26.0
29855;morris, connecticut, usa;53.0
30035;vancouver, british columbia, canada;37.0
30052;minneapolis, minnesota, usa;
30081;east providence, rhode island, usa;25.0
30273;naples, florida, usa;25.0
30276;wildwood, new jersey, usa;49.0
30487;newbury park, california, usa;40.0
30511;culemborg, gelderland, netherlands;
30533;charleston, south carolina, usa;
30555;corvallis, oregon, usa;22.0
30711;sydney, new south wales, australia;32.0
30735;corvallis, oregon, usa;
30972;columbiana, alabama, usa;47.0
30985;cape coral, florida, usa;
30994;mission hills, california, usa;
31040;san ramon, california, usa;
31315;henryville, indiana, usa;34.0
31391;wilmington, massachusetts, usa;38.0
31393;portland, oregon, usa;
31556;chula vista, california, usa;51.0
31826;jasper, missouri, usa;54.0
31846;phoenix, , usa;
32148;edmonton, alberta, canada;
32195;fall river, massachusetts, usa;
32250;gta, ontario, canada;29.0
32440;dunedin, otago, new zealand;
32569;richmond hill, ontario, canada;19.0
32599;york, south carolina, usa;17.0
32721;toulouse, haute-garonne, france;36.0
32773;olathe, kansas, usa;28.0
32802;courtenay, british columbia, canada;
33124;london, ontario, canada;
33179;freedonia, emilia romagna, antarctica;
33319;calgary, alberta, canada;24.0
33580;rockwell, north carolina, usa;27.0
33818;winnipeg, manitoba, canada;29.0
33862;abingdon, maryland, usa;
33933;hull, massachusetts, usa;35.0
33974;barnhart, missouri, usa;24.0
33999;pittsburgh, pennsylvania, usa;51.0
34300;burlington, ontario, canada;35.0
34588;west linn, oregon, usa;
34752;bristow, virginia, usa;26.0
35445;terre haute, indiana, usa;31.0
35704;kansas city, missouri, usa;53.0
35836;rochester, new york, usa;34.0
35857;mentor, ohio, usa;36.0
35859;duluth, minnesota, usa;
35918;reno, nevada, usa;
36003;shah alam, selangor, malaysia;26.0
36135;charleston, south carolina, usa;
36256;amarillo, texas, usa;39.0
36299;austin, texas, usa;50.0
36327;wirtz, virginia, usa;
36606;san marcos, california, usa;39.0
36609;zachary, louisiana, usa;32.0
36715;lexington, kentucky, usa;
36807;wisconsin rapids, wisconsin, usa;27.0
36817;south hadley, massachusetts, usa;29.0
36907;dunnville, ontario, canada;39.0
37208;mesa, arizona, usa;30.0
37227;hamilton, ohio, usa;27.0
37311;oroville, california, usa;
37400;portland, oregon, usa;27.0
37512;tulsa, oklahoma, usa;27.0
37538;kuala lumpur, n/a, malaysia;
37644;sudbury, massachusetts, usa;18.0
37712;cincinnati, ohio, usa;23.0
37874;williamsburg, virginia, usa;43.0
37950;calgary, alberta, canada;
37989;union city, california, usa;57.0
38023;hayward, california, usa;30.0
38273;chandler, arizona, usa;
38281;barcelona, catalunya, spain;33.0
38556;edmonton, alberta, canada;
38933;san diego, california, usa;37.0
38995;woodbine, maryland, usa;44.0
39281;morris plains, new jersey, usa;45.0
39345;jacksonville, florida, usa;47.0
39467;barcelona, catalunya, spain;35.0
39616;las vegas, nevada, usa;38.0
39646;fairless hills, pennsylvania, usa;35.0
39773;miami, florida, usa;49.0
40330;germantown, maryland, usa;
40415;san francisco, california, usa;34.0
40889;brainerd, minnesota, usa;37.0
40914;phoenix, arizona, usa;28.0
40943;oklahoma city, oklahoma, usa;40.0
41084;orlando, florida, usa;36.0
41177;austin, texas, usa;38.0
41455;toronto, ontario, canada;
41589;bellingham, washington, usa;51.0
41781;clinton twp., michigan, usa;54.0
41841;sherwood park, alberta, canada;
42093;fair haven, new jersey, usa;50.0
42410;spring, texas, usa;
42458;north york, ontario, canada;47.0
42597;san pedro, california, usa;52.0
42914;clarksville, indiana, usa;26.0
43246;toronto, ontario, canada;36.0
43481;bridgewater, connecticut, usa;57.0
43619;shrewsbury, massachusetts, usa;26.0
43687;sacramento, california, usa;27.0
43806;delano, minnesota, usa;31.0
43842;tucson, ,;
43910;granada hills, california, usa;43.0
44252;fairview, new jersey, usa;28.0
44728;florence, alabama, usa;31.0
44842;north wales, ,;
44852;spring, texas, usa;39.0
44893;alexandria, virginia, usa;
45315;ada, michigan, usa;
45557;flossmoor, illinois, usa;33.0
46398;san antonio, texas, usa;37.0
46443;asheville, north carolina, usa;14.0
46892;northridge, california, usa;35.0
46909;howell, new jersey, usa;31.0
47128;elmhurst, illinois, usa;33.0
47316;comanche, texas, usa;
47793;natick, massachusetts, usa;
48025;concordia, missouri, usa;43.0
48046;central sq., new york, usa;
48268;vienna, vienna, austria;18.0
48494;lemon grove, california, usa;51.0
48743;freeport, ,;
48975;beaver dams, new york, usa;
49109;west jordan, utah, usa;38.0
49212;san francisco, california, usa;38.0
49225;medina, ohio, usa;
49314;decatur, georgia, usa;
49422;regensburg, bayern, germany;
49460;., kansas, usa;37.0
49980;new hartford, new york, usa;27.0
50073;south portland, maine, usa;
50225;fresno, california, usa;
50895;calverton, new york, usa;
51207;mountain city, tennessee, usa;35.0
51252;yucca valley, california, usa;
51350;monroe, ,;
51365;shelbyville, kentucky, usa;48.0
51450;lawrenceville, georgia, usa;54.0
51526;long beach, california, usa;34.0
51742;brooklyn, new york, usa;
51883;jasper, missouri, usa;31.0
51992;west fairlee, vermont, usa;43.0
52159;richmond, california, usa;49.0
52199;houston, texas, usa;47.0
52350;lisboa, n/a, portugal;31.0
52521;safety harbor, florida, usa;38.0
52584;livermore, california, usa;45.0
52853;yuba city, california, usa;61.0
52917;bellevue, washington, usa;42.0
53174;orlando, florida, usa;29.0
53220;fullerton, california, usa;36.0
53241;hillsborough, new jersey, usa;
53256;sterlington, louisiana, usa;21.0
53278;toronto, ontario, canada;34.0
53304;south burlington, vermont, usa;52.0
53392;minneapolis, minnesota, usa;34.0
53418;puyallup, washington, usa;28.0
53456;ne portland, oregon,;
53590;thalwil, zurich, switzerland;40.0
53614;barreiro, barreiro, portugal;30.0
53664;maple ridge, british columbia, canada;
54335;north haven, connecticut, usa;43.0
54622;kuala lumpur, federal territory, malaysia;
54884;nashua, new hampshire, usa;33.0
55027;burlington, north carolina, usa;44.0
55075;seattle, washington, usa;33.0
55178;moore, oklahoma, usa;25.0
55187;torrance, california, usa;48.0
55438;lexington, kentucky, usa;42.0
55490;rapid city, south dakota, usa;25.0
55492;antioch, illinois, usa;43.0
55493;chatham, ontario, canada;35.0
55734;calgary, alberta, canada;37.0
55751;hesperia, california, usa;
55799;scarborough, ontario, canada;
55858;dartmouth, nova scotia, canada;28.0
55892;plantersville, texas, usa;45.0
55927;roscoe, minnesota, usa;17.0
56271;leeds, england, united kingdom;22.0
56307;el segundo, california, usa;
56391;tijeras, nm, usa;40.0
56399;n/a, surrey, united kingdom;63.0
56447;sturgis, michigan, usa;22.0
56554;rural hall, north carolina, usa;39.0
56804;southbridge, canterbury, new zealand;
56856;escondido, california, usa;23.0
56959;monroe twp., new jersey, usa;52.0
57095;cincinnati, ohio, usa;18.0
57105;roswell, georgia, usa;32.0
57398;tigard, oregon, usa;39.0
57599;portland, oregon, usa;27.0
57725;wilmington, delaware, usa;43.0
57976;eugene, oregon, usa;
58255;palmdale, california, usa;14.0
58594;baltimore, maryland, usa;33.0
59150;victoria, british columbia, canada;37.0
59172;owen sound, ontario, canada;36.0
59209;markham, ontario, canada;41.0
59269;indianapolis, indiana, usa;
59390;uniontown, pennsylvania, usa;
59727;plano, texas, usa;24.0
59912;pasadena, california, usa;27.0
60050;brooklyn, new york, usa;40.0
60244;alvin, texas, usa;47.0
60263;middletown, delaware, usa;52.0
60337;st. marys, georgia, usa;50.0
60427;basingstoke, england, united kingdom;37.0
60475;norfolk, virginia, usa;
60546;santa maria, california, usa;
60583;antioch, illinois, usa;
60621;edwardsville, illinois, usa;57.0
60707;manchester, new hampshire, usa;38.0
61028;charleston, south carolina, usa;50.0
61038;riverside public library, illinois, usa;53.0
61147;ebensee, oberoesterreich, austria;44.0
61257;lake placid, florida, usa;25.0
61427;morgan hill, california, usa;
61854;boulder city, nevada, usa;
61901;tucson, arizona, usa;63.0
62272;lake mary, florida, usa;30.0
62464;el cajon, california, usa;26.0
62542;cudahy, wisconsin, usa;40.0
62558;rochester, minnesota, usa;
62862;new milford, connecticut, usa;47.0
62881;milwaukee, wisconsin, usa;39.0
62891;hi nella, new jersey, usa;27.0
62895;chesterfield, derbyshire, united kingdom;39.0
63394;eufaula, alabama, usa;22.0
63625;torrance, california, usa;15.0
63854;waterloo, ontario, canada;45.0
63938;northwest, iowa, usa;
63956;emporia, kansas, usa;28.0
64270;embudo, new mexico, usa;
64310;smyrna, georgia, usa;46.0
64436;san ramon, california, usa;36.0
65258;saginaw, michigan, usa;42.0
65584;tulsa, oklahoma, usa;26.0
65663;syracuse, new york, usa;32.0
65877;tonawanda, new york, usa;
66073;aptos, california, usa;28.0
66323;factoryville, pennsylvania, usa;34.0
66387;kokomo, indiana, usa;52.0
66487;tampa, florida, usa;
66574;astoria, new york, usa;27.0
66680;orange park, florida, usa;67.0
66878;fort myers, florida, usa;42.0
66942;kuching, sarawak, malaysia;31.0
67079;london, england, united kingdom;35.0
67198;denver, colorado, usa;13.0
67547;sierra madre, california, usa;42.0
67591;edmonton, alberta,;
67663;wrightstown, ,;47.0
67840;houston, texas, usa;50.0
68128;mountain view, california, usa;
68156;brooklyn, new york, usa;34.0
68185;virginia beach, virginia, usa;22.0
68256;chickasha, oklahoma, usa;28.0
68436;downieville, california, usa;49.0
68555;bad axe, michigan, usa;
68760;northampton, pennsylvania, usa;
68984;aurora, illinois, usa;26.0
69078;new york, new york, usa;42.0
69156;cross plains, wisconsin, usa;31.0
69211;oviedo, florida, usa;
69232;mooresville, north carolina, usa;55.0
69355;syracuse, new york, usa;
69378;mililani, hawaii, usa;46.0
69389;nebraska city, nebraska, usa;29.0
69405;ede, gelderland, netherlands;36.0
69684;philadelphia, pennsylvania, usa;33.0
69697;west sacramento, california, usa;24.0
69721;minneapolis, minnesota, usa;32.0
69933;perkasie, pennsylvania, usa;
69971;pinehurst, north carolina, usa;43.0
70014;peoria, illinois, usa;
70052;st. john`s, ontario, canada;30.0
70065;winnipeg, manitoba, canada;19.0
70183;carbonear, newfoundland, canada;25.0
70415;crescent city, florida, usa;57.0
70541;hamburg, hamburg, germany;26.0
70594;prince george, british columbia, canada;53.0
70666;warwick, rhode island, usa;18.0
71234;cumberland, maryland, usa;30.0
71490;west los angeles, california, usa;23.0
71752;sarasota, florida, usa;20.0
71786;san jose, california, usa;29.0
71853;somerville, massachusetts, usa;23.0
72214;ottawa, ontario, canada;40.0
72523;grand island, new york, usa;
72990;watertown, new york, usa;31.0
73044;sudbury, ontario, canada;
73056;annapolis, maryland, usa;
73330;seattle, washington, usa;29.0
73394;san diego, california, usa;33.0
73588;astoria, new york, usa;38.0
73651;grapevine, texas, usa;
73681;almada, setúbal, portugal;27.0
73923;montrose, california, usa;29.0
74026;san diego, california, usa;21.0
74056;san gabriel, california, usa;24.0
74286;pampa, texas, usa;23.0
74758;turners falls, massachusetts, usa;24.0
75081;, illinois, usa;29.0
75089;salt lake city, utah, usa;
75149;geneva, illinois, usa;36.0
75485;gainesville, florida, usa;27.0
75591;charleston, west virginia, usa;33.0
75819;west falls, new york, usa;
75860;buffalo, minnesota, usa;30.0
76019;norwich, england, united kingdom;28.0
76102;buckfield, maine, usa;33.0
76151;sioux falls, south dakota, usa;49.0
76173;comox, british columbia, canada;71.0
76223;lisboa, lisboa, portugal;25.0
76351;clarksville, tennessee, usa;34.0
76352;olympia, washington, usa;58.0
76482;zanesville, ohio, usa;103.0
76483;orange park, florida, usa;37.0
76499;new york, new york, usa;
76530;santa clarita, california, usa;55.0
76626;london, england, united kingdom;38.0
76710;marietta, georgia, usa;57.0
76818;little rock, arkansas, usa;49.0
76888;easley, south carolina, usa;19.0
76942;sacramento, california, usa;25.0
77181;louisville, kentucky, usa;33.0
77480;gig harbor, washington, usa;51.0
77724;mission viejo, california, usa;43.0
77809;atlantic highlands, new jersey, usa;29.0
78015;enfield, connecticut, usa;32.0
78448;fairfax, virginia, usa;
78553;el cajon, california, usa;40.0
78783;chantilly, virginia, usa;49.0
78834;honolulu, hawaii, usa;28.0
78973;amadora, lisboa, portugal;29.0
79009;wellsburg, west virginia, usa;
79266;lakeland, florida, usa;
79740;st. louis, missouri, usa;24.0
79977;chesapeake, virginia, usa;35.0
80203;olympia, wa, usa;34.0
80538;lisboa, lisboa, portugal;32.0
80683;new castle, delaware, usa;27.0
80810;warrensburg, missouri, usa;33.0
80945;freiburg, baden-württemberg, germany;46.0
81121;chesterfield, missouri, usa;
81207;maia, porto, portugal;20.0
81216;lake jackson, texas, usa;
81263;shanghai, shanghai, china;17.0
81298;savannah, georgia, usa;20.0
81318;cambridge, massachusetts, usa;25.0
81368;mesa, arizona, usa;28.0
81492;san antonio, texas, usa;28.0
81560;christchurch, canterbury, new zealand;
81597;wichita, kansas, usa;
81682;bluffton, south carolina,;36.0
81771;sacramento, california, usa;37.0
81848;springfield, illinois, usa;35.0
81977;minneapolis, minnesota, usa;34.0
82407;washington, dc, usa;
82497;yulee, florida, usa;47.0
82511;firenze, toscana, italy;
83287;tulsa, oklahoma, usa;45.0
83431;trenton, ontario, canada;35.0
83637;raleigh, north carolina, usa;57.0
83646;covington, virginia, usa;34.0
83671;iowa city, ,;52.0
84024;abilene, texas, usa;37.0
84479;philadelphia, pennsylvania, usa;25.0
84523;apopka, ,;30.0
84795;alpharetta, ,;
84882;woodstock, georgia, usa;
85367;gloversville, new york, usa;17.0
85426;chisholm, minnesota, usa;23.0
85526;victoria, british columbia, canada;36.0
85656;cottage grove, oregon, usa;41.0
85757;pawtucket, rhode island, usa;40.0
85993;portland, oregon, usa;40.0
86145;alexandria, virginia, usa;45.0
86189;tustin, california, usa;
86202;sydney, new south wales, australia;26.0
86243;christchurch, canterbury, new zealand;
86720;calgary, alberta, canada;
86835;mercer island, ,;
86969;forest grove, oregon, usa;59.0
87141;huntington beach, california, usa;
87555;lexington, kentucky, usa;31.0
87712;yarmouth, nova scotia, canada;19.0
87911;new york, new york, usa;20.0
87938;n/a, n/a, malaysia;15.0
87949;gladewater, texas, usa;44.0
87964;toledo, ohio, usa;56.0
88122;jacksonville, north carolina, usa;30.0
88229;thermopolis, wyoming, usa;44.0
88283;hamburg, hamburg, germany;24.0
88412;toronto, ontario, canada;36.0
88693;shanghai, shanghai, china;30.0
88733;houston, texas, usa;
88738;harpers ferry, west virginia, usa;
88793;arcata, california, usa;25.0
88937;cary, north carolina, usa;39.0
89014;surfside beach, south carolina, usa;
89602;honolulu, hawaii, usa;
90049;victoria, british columbia, canada;30.0
90198;cornwall, new york,;34.0
90391;queens, new york, usa;41.0
90417;rye, new hampshire, usa;40.0
90616;southfield, michigan, usa;
91017;holtsville, ,;54.0
91058;blanco, texas, usa;63.0
91103;casper, wyoming, usa;35.0
91113;chicago, illinois, usa;26.0
91184;kuala lumpur, kuala lumpur, malaysia;31.0
91342;doha, doha, qatar;29.0
91634;pgh, pennsylvania, usa;
91647;industry, pennsylvania, usa;49.0
91832;miami, florida, usa;
92156;peoria, illinois, usa;
92405;dortmund, nordrhein-westfalen, germany;26.0
92498;sydney, new south wales, australia;
92547;baker city, oregon, usa;29.0
92810;manistee, michigan, usa;60.0
92853;ely, england, united kingdom;
93047;nashua, new hampshire, usa;52.0
93092;sherwood park, alberta, canada;22.0
93179;san diego, california, usa;
93363;farmington hills, michigan, usa;30.0
93364;calhoun, kentucky, usa;27.0
93426;plano, texas, usa;35.0
93453;palm desert, california, usa;1.0
93565;tustin, ,;72.0
93629;baton rouge, louisiana, usa;54.0
93631;halifax, ,;26.0
94347;oakland, new jersey, usa;44.0
94494;tacoma, washington, usa;24.0
94787;cleveland, ohio, usa;24.0
94853;christchurch, canterbury, new zealand;27.0
94951;san jose, california, usa;37.0
94985;sant cugat del vallès, catalunya, spain;39.0
95173;sterling heights, michigan, usa;
95250;prospect, kentucky, usa;
95316;fredericton, new brunswick, canada;
95359;charleston, west virginia, usa;33.0
95393;austin, texas, usa;33.0
95506;chester, cheshire, united kingdom;42.0
95903;mason, ohio, usa;27.0
95932;manchester, new hampshire, usa;36.0
95991;santa ana, california, usa;28.0
96357;aiken, south carolina, usa;31.0
96440;rochester, new york, usa;29.0
96448;albuquerque, new mexico, usa;
96554;barcelona, catalunya, spain;36.0
96744;jerez de la frontera, cadiz, spain;34.0
96970;minneapolis, minnesota, usa;42.0
97324;costa de caparica, lisbon, portugal;29.0
97694;vancouver, british columbia, canada;25.0
97721;castro valley, california, usa;46.0
97754;schenectady, new york, usa;46.0
97874;n/a, british columbia, canada;
98263;north vancouver, british columbia, canada;35.0
98391;morrow, georgia, usa;52.0
98440;yuma, arizona, usa;17.0
98547;columbia, south carolina, usa;43.0
98628;kuwait, kuwait, kuwait;17.0
98686;norfolk, virginia, usa;32.0
98723;cincinnati, ohio, usa;29.0
98758;calgary, alberta, canada;25.0
98783;richboro, pennsylvania, usa;30.0
98787;melbourne, victoria, australia;26.0
98904;billings, montana, usa;28.0
99347;muskegon, michigan, usa;30.0
99523;bucharest, n/a, romania;28.0
99720;dahlonega, georgia, usa;
99955;lockport, new york, usa;14.0
100009;victoria, british columbia, canada;49.0
100088;burnley, england, united kingdom;26.0
100227;tehran, tehran, iran;36.0
100264;brunswick, ohio, usa;37.0
100393;riverside, california, usa;
100459;bay area, california, usa;38.0
100644;heilbronn, baden-wuerttemberg, germany;26.0
100846;plainfield, illinois, usa;39.0
100906;seattle, washington, usa;34.0
101209;ft huachuca, arizona, usa;44.0
101304;chesapeake, virginia, usa;68.0
101305;milwaukee, wisconsin, usa;29.0
101606;niagara falls, ontario, canada;32.0
101620;brookland, arkansas, usa;
101731;prince george, british columbia, canada;
101851;keizer, oregon, usa;29.0
101876;nicholasville, kentucky, usa;38.0
102220;acapulco, n/a, mexico;54.0
102275;saint clair, michigan, usa;52.0
102359;springfield, oregon, usa;
102647;modesto, california, usa;14.0
102702;honolulu, hawaii, usa;34.0
102705;ottawa, ontario, canada;22.0
102967;olympia, washington, usa;54.0
103336;tucson, arizona, usa;55.0
104113;springfield, missouri, usa;24.0
104144;florence, alabama, usa;65.0
104211;chattanooga, tennessee, usa;39.0
104399;middletown, ohio, usa;29.0
104429;brainerd, minnesota, usa;39.0
104505;bend, oregon,;34.0
104636;youngstown, ohio, usa;
104657;cave creek, arizona, usa;25.0
104665;altoona, iowa, usa;30.0
105028;kuala lumpur, federal territory, malaysia;22.0
105054;edmonton, alberta, canada;29.0
105058;north york, ontario, canada;32.0
105214;pittsburgh, pennsylvania, usa;34.0
105221;la mesa, california, usa;15.0
105374;montreal, quebec, canada;25.0
105517;calgary, alberta, canada;28.0
105627;london, ontario, canada;23.0
105937;tampa, florida, usa;27.0
105979;oakland, california, usa;26.0
106007;santa rosa, california, usa;29.0
106225;chicago, illinois, usa;38.0
106294;tarrytown, new york, usa;
106369;danbury, connecticut, usa;30.0
106768;lexington, kentucky, usa;23.0
106849;dunkirk, indiana, usa;39.0
107021;indianapolis, indiana, usa;45.0
107244;appleton, wisconsin, usa;50.0
107301;west kensington, london, united kingdom;31.0
107326;denver, colorado, usa;28.0
107784;tarentum, pennsylvania, usa;
107951;tübingen, baden-württemberg, germany;
108005;greenfield, wisconsin, usa;29.0
108155;indianapolis, indiana, usa;29.0
108285;appleton, wisconsin, usa;22.0
108352;rochester, michigan, usa;37.0
108405;irvine, ,;49.0
108480;caracas, dtto federal, venezuela;
108535;clifton, new jersey, usa;
108752;fort polk, louisiana, usa;31.0
108799;kaneohe, hawaii, usa;
109461;oklahoma city, oklahoma, usa;30.0
109491;brentwood, california, usa;40.0
109574;edmonton, alberta, canada;50.0
109779;arab, alabama, usa;25.0
109864;lafayette, colorado, usa;
109899;garnerville, new york, usa;
109901;sydney, new south wales, australia;59.0
110029;norwich, england, united kingdom;27.0
110361;san diego, california, usa;29.0
110373;livingston, new jersey, usa;
110440;fairfax, virginia, usa;29.0
110483;fredericton, new brunswick, canada;30.0
110912;milpitas, california, usa;36.0
110934;kirkland, washington, usa;46.0
110973;wiley ford, west virginia, usa;43.0
111174;austin, texas, usa;
111190;belton, texas, usa;53.0
111286;orlando, florida, usa;45.0
111578;fremont, california, usa;
111637;tiburon, california, usa;53.0
111944;mannford, oklahoma, usa;23.0
111947;albuquerque, new mexico, usa;30.0
112001;barren springs, virginia, usa;43.0
112026;lakewood, washington, usa;17.0
112083;tucson, arizona, usa;25.0
112093;spencer, indiana, usa;35.0
112541;sydney, new south wales, australia;22.0
112559;dallas, texas, usa;37.0
112953;davenport, iowa, usa;31.0
113030;vancouver, british columbia, canada;25.0
113270;evanston, illinois, usa;25.0
113334;calgary, alberta, canada;40.0
113519;pleasanton, california, usa;
113904;baltimore, maryland, usa;31.0
114085;streamwood, illinois, usa;
114368;mechanicsville, maryland, usa;33.0
114414;edinburg, texas, usa;27.0
114444;alexandria, virginia, usa;34.0
114446;cardiff, wales, united kingdom;26.0
114544;antelope, california, usa;35.0
114581;san francisco, california, usa;23.0
114868;edmonton, alberta, canada;31.0
114988;temple, texas, usa;37.0
115003;asheville, north carolina, usa;43.0
115435;cincinnati, ohio, usa;30.0
115490;dekalb, illinois, usa;
115572;darlington, south carolina, usa;23.0
115692;blacksburg, virginia, usa;33.0
116005;london, ontario, canada;28.0
116758;paullina, iowa, usa;38.0
116904;san antonio, texas, usa;38.0
117111;toronto, ontario, canada;30.0
117132;st louis, missouri, usa;66.0
117251;pleasant hill, california, usa;
117384;some other, planet, far away...;29.0
117873;evanston, illinois, usa;50.0
118228;denver, colorado, usa;
118484;wonder lake, illinois, usa;
118628;toronto, ontario, canada;34.0
118677;boise, idaho, usa;46.0
119517;andover, minnesota, usa;
119575;north vancouver, british columbia, canada;30.0
119590;sacramento, california, usa;
119725;wokingham, berkshire, united kingdom;24.0
120093;merrick, acworth, new york, georgia, usa;59.0
120396;boyce, virginia, usa;46.0
120598;plant city, florida, usa;
120828;munster, indiana, usa;27.0
120908;boston, massachusetts, usa;27.0
121170;arlington, virginia, usa;30.0
121606;petaling jaya, selangor, malaysia;23.0
121817;ballston spa, new york, usa;38.0
